date,cap
5/8/2017,69316.9
5/9/2017,69296.6
5/10/2017,69285.7
5/11/2017,69291.9
5/12/2017,69271.4
5/13/2017,69241.1
5/14/2017,69220.9
5/15/2017,69200.5
5/16/2017,69184
5/17/2017,69187.3
5/18/2017,69246
5/19/2017,69235.4
5/20/2017,69224.3
5/21/2017,69243.3
5/22/2017,69222.1
5/23/2017,69181.5
5/24/2017,69151.1
5/25/2017,69160.9
5/26/2017,69150.7
5/27/2017,69095.7
5/28/2017,69138.2
5/29/2017,69165.6
5/30/2017,69155
5/31/2017,69173.8
6/1/2017,69144.7
6/2/2017,69113.7
6/3/2017,69070.1
6/4/2017,69019.7
6/5/2017,69012
6/6/2017,69000.8
6/7/2017,69034.7
6/8/2017,69065.1
6/9/2017,69085.3
6/10/2017,69066.4
6/11/2017,69042.5
6/12/2017,69011.4
6/13/2017,69010.8
6/14/2017,68990.1
6/15/2017,68929.7
6/16/2017,68919.7
6/17/2017,68925.9
6/18/2017,68948.7
6/19/2017,69006.3
6/20/2017,68995.2
6/21/2017,69023.9
6/22/2017,68992.2
6/23/2017,68891.3
6/24/2017,68900.9
6/25/2017,68860.6
6/26/2017,68840.5
6/27/2017,68834.3
6/28/2017,68867.9
6/29/2017,68926.1
6/30/2017,68928.1
7/1/2017,68917.3
7/2/2017,68883.4
7/3/2017,68882.6
7/4/2017,68842.1
7/5/2017,68801.7
7/6/2017,68801.4
7/7/2017,68804.1
7/8/2017,68774
7/9/2017,68825.5
7/10/2017,68836.3
7/11/2017,68845.3
7/12/2017,68844.2
7/13/2017,68815.3
7/14/2017,68782.3
7/15/2017,68751.5
7/16/2017,68711.2
7/17/2017,68731.1
7/18/2017,68705.8
7/19/2017,68728.2
7/20/2017,68788.9
7/21/2017,68786.2
7/22/2017,68794.8
7/23/2017,68773.3
7/24/2017,68712.3
7/25/2017,68661.8
7/26/2017,68671.3
7/27/2017,68651.2
7/28/2017,68624.1
7/29/2017,68604.4
7/30/2017,68826.7
7/31/2017,68953.9
8/1/2017,68944
8/2/2017,68942.6
8/3/2017,68911.7
8/4/2017,68911.2
8/5/2017,68870.7
8/6/2017,68840.3
8/7/2017,68820.1
8/8/2017,68821.6
8/9/2017,68816
8/10/2017,68826.6
8/11/2017,68824
8/12/2017,68823
8/13/2017,68812.5
8/14/2017,68801.8
8/15/2017,68731.1
8/16/2017,68743.1
8/17/2017,68723.2
8/18/2017,68690.8
8/19/2017,68751.5
8/20/2017,68731.8
8/21/2017,68712.4
8/22/2017,68691.8
8/23/2017,68691.6
8/24/2017,68651.5
8/25/2017,68651.4
8/26/2017,68601.1
8/27/2017,68630.7
8/28/2017,68620.9
8/29/2017,68571.5
8/30/2017,68601.8
8/31/2017,68593
9/1/2017,68532.7
9/2/2017,68464.3
9/3/2017,68451.5
9/4/2017,68471.4
